Stroke (#),Second (#),Distance (m),Work (J),Actual power (W),Average power (W),Actual split (s),Average split (s),Stroke rate (SPM),Heart rate (bpm)
1, , , , , , , , ,85
2,3,8,258.4, , , , , ,85
3,6,18,347.4,119, ,143, ,20.5,84
4,9,29,342.6,119,105.4,143, ,20.7,84
5,12,39,330.4,112,107.5,146,149,20.4,84
6,14,47,369.2,126,107.5,140,148,20.4,86
7,17,58,380.1,130,114.6,139,147,20.5,86
8,20,68,356.9,124,116.3,141,145,20.8,86
9,23,79,378.7,136,116.3,137,144,21.5,86
10,26,90,381.6,136,118.1,137,143,21.3,88
11,28,101,388.9,135,121.0,137,143,20.7,89
12,32,111,390.5,135,122.3,137,142,20.7,90
13,35,122,366.3,122,122.2,142,142,19.9,90
14,38,132,356.2,120,122.0,142,142,20.2,90
15,41,143,373.8,126,122.5,140,142,20.2,91
16,44,154,374.7,126,122.6,140,142,20.2,93
17,47,165,390.7,132,123.1,138,142,20.2,94
18,50,175,387.6,131,123.5,138,141,20.2,94
19,53,186,379.2,128,123.6,139,141,20.2,95
20,55,194,389.8,130,123.6,139,141,20.0,95
21,58,205,350.5,123,124.5,141,141,20.9,96
22,61,215,342.5,120,124.0,142,141,20.9,97
23,64,225,353.4,121,124.1,142,141,20.5,100
24,67,236,387.3,136,124.7,137,141,21.0,101
25,69,244,375.2,137,124.7,136,141,21.8,102
26,72,255,389.6,144,125.9,134,140,22.2,103
27,75,266,376.7,138,125.9,136,140,22.0,104
28,78,277,379.6,136,126.6,137,140,21.5,105
29,81,287,386.0,135,126.8,137,140,21.0,106
30,83,296,386.1,137,126.8,136,140,21.2,106
31,86,307,413.3,149,128.0,132,140,21.5,106
32,89,318,411.2,148,128.0,133,139,21.6,107
33,92,329,416.1,152,129.3,132,139,21.8,107
34,94,337,389.4,140,129.3,135,139,21.5,107
35,97,348,425.4,155,130.2,131,139,21.8,109
36,100,359,427.8,156,130.2,130,139,21.8,109
37,103,370,406.5,148,131.5,133,138,21.8,109
38,105,379,415.7,153,131.5,131,138,22.1,110
39,108,390,391.3,142,132.3,135,138,21.7,110
40,110,401,419.1,155,132.3,131,138,22.1,111
41,114,412,397.3,145,133.2,134,138,21.8,111
42,116,420,410.4,151,133.6,132,138,22.1,111
43,119,431,424.2,162,133.6,129,138,22.9,111
44,121,440,389.1,149,134.3,132,137,22.9,112
45,124,450,393.8,154,134.7,131,137,23.5,112
