Stroke (#),Second (#),Distance (m),Work (J),Actual power (W),Average power (W),Actual split (s),Average split (s),Stroke rate (SPM),Heart rate (bpm)
1, , , , , , , , , 
2,2,6,282.6, , , , , ,122
3,4,14,383.9,199, ,120, ,31.0,121
4,7,25,401.2,169,150.4,127, ,25.2,121
5,9,34,443.4,167,155.8,127,132,22.5,122
6,12,45,413.2,160,157.7,129,131,23.2,122
7,14,53,441.2,182,162.0,124,130,24.6,123
8,17,65,462.5,188,165.4,123,129,24.3,124
9,19,74,444.3,183,166.9,124,128,24.6,124
10,22,85,472.9,188,170.2,123,128,23.9,125
11,24,94,453.6,186,171.4,123,127,24.5,126
12,27,105,442.9,177,171.9,125,126,24.0,127
13,29,114,441.0,173,171.7,126,126,23.5,127
14,32,125,462.4,181,173.3,124,126,23.5,127
15,34,134,452.3,185,173.8,123,126,24.5,128
16,37,145,419.7,173,173.9,126,126,24.7,129
17,39,154,447.3,180,173.8,124,126,24.0,129
18,42,165,440.8,174,173.9,126,126,23.7,129
19,44,174,460.3,182,174.5,124,126,23.7,130
20,47,185,483.5,192,175.5,122,126,23.8,130
21,49,194,462.2,189,176.3,122,125,24.4,131
22,51,203,473.7,194,176.3,121,125,24.5,131
23,54,214,468.0,194,177.3,121,125,24.8,132
24,56,223,462.7,184,177.8,123,125,23.9,132
25,59,235,480.2,198,178.1,120,125,24.7,132
26,62,246,445.4,175,178.4,125,125,23.5,133
27,64,255,475.9,181,178.6,124,125,22.8,134
28,67,266,448.4,172,178.6,126,125,22.9,135
29,69,275,431.1,171,178.1,126,125,23.8,135
30,72,286,458.4,180,178.3,124,125,23.5,135
31,74,295,472.5,187,178.4,123,125,23.7,136
32,77,307,472.8,189,179.0,122,125,24.0,137
33,79,315,470.7,193,179.5,121,125,24.5,137
34,82,327,470.6,191,179.6,122,125,24.2,137
35,84,336,460.9,182,179.7,124,125,23.7,137
36,87,347,491.7,197,180.2,121,125,24.0,137
37,89,356,458.5,182,180.3,124,124,23.8,138
38,92,367,443.9,180,180.2,124,124,24.2,138
39,94,376,496.1,197,180.9,121,124,23.8,139
40,97,388,447.3,187,180.8,123,124,25.1,139
41,99,397,493.1,197,181.2,121,124,24.0,140
42,102,408,479.0,192,181.5,122,124,24.0,140
43,104,417,469.5,186,181.8,123,124,23.7,141
44,107,429,490.6,205,182.0,119,124,25.1,141
45,109,438,494.8,196,182.0,121,124,23.8,141
46,111,447,488.5,199,182.5,120,124,24.4,141
47,114,458,475.3,192,182.8,122,124,24.2,142
48,117,470,475.8,187,183.0,123,124,23.5,142
49,119,479,505.9,198,183.4,120,124,23.5,142
50,122,490,459.8,182,183.2,124,124,23.7,143
51,123,499,478.8,185,183.4,123,124,23.1,143
52,127,511,454.3,177,183.4,125,124,23.4,144
53,129,519,411.7,162,182.9,129,124,23.6,144
54,132,530,474.4,184,182.9,123,124,23.2,144
55,134,539,488.1,194,183.2,121,124,23.9,145
56,137,551,470.3,192,183.3,122,124,24.4,145
57,139,560,473.7,189,183.4,122,124,24.0,145
58,142,571,433.1,174,183.2,126,124,24.0,145
59,144,580,469.4,190,183.4,122,124,24.2,146
60,147,591,467.5,188,183.5,123,124,24.0,146
61,148,600,446.9,182,183.4,124,124,24.4,146
62,152,611,425.8,172,183.2,126,124,24.2,146
63,154,620,457.7,177,183.2,125,124,23.1,147
64,157,631,451.8,184,183.2,123,124,24.4,146
65,159,640,487.9,194,183.4,121,124,23.9,147
66,162,652,457.9,187,183.5,123,124,24.4,147
67,164,660,433.3,174,183.2,126,124,24.0,147
68,167,672,489.3,193,183.5,121,124,23.7,148
69,169,681,486.6,200,183.7,120,124,24.6,148
70,172,693,495.7,202,183.9,120,124,24.4,148
71,173,701,466.9,190,184.0,122,124,24.3,148
72,173,713,453.0,183,184.0,124,123,24.1,148
73,179,721,471.5,186,184.0,123,123,23.7,148
74,182,733,452.1,182,183.9,124,123,24.1,148
75,184,741,449.7,172,183.7,126,124,22.9,148
76,187,753,446.2,172,183.6,126,124,23.0,148
77,189,762,476.9,185,183.6,123,124,23.2,149
78,192,773,478.4,187,183.8,123,124,23.4,150
79,194,782,491.5,200,183.9,120,124,24.3,150
80,197,794,489.9,196,184.1,121,124,24.0,150
81,199,803,475.2,191,184.2,122,123,24.0,149
82,202,814,489.3,199,184.3,120,123,24.3,150
83,204,823,484.4,190,184.3,122,123,23.5,150
84,207,835,510.5,205,184.7,119,123,24.0,149
85,209,844,480.7,199,184.8,120,123,24.7,150
86,212,855,468.2,191,184.9,122,123,24.4,150
87,214,864,483.9,192,185.0,122,123,23.8,150
88,217,876,484.6,196,185.1,121,123,24.2,150
89,219,885,492.5,194,185.3,121,123,23.6,151
90,222,896,442.5,184,185.1,123,123,24.8,150
91,224,905,470.9,184,185.1,123,123,23.4,150
92,227,917,491.1,199,185.3,120,123,24.2,150
93,229,926,467.2,187,185.3,123,123,24.0,151
94,232,937,486.3,191,185.4,122,123,23.5,151
95,234,946,497.2,197,185.6,121,123,23.8,151
96,237,958,489.0,205,185.7,119,123,25.1,150
97,239,967,475.4,193,185.8,121,123,24.3,151
98,245,986,417.0,164,183.1,128,123,23.5,150
99,247,991,15.8,3,181.4,488,124,11.2,150
