"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","2.0","4.0","248.0","23","378","0","87"
"2","3.0","7.0","248.0","23","378","0","88"
"3","4.0","11.0","171.0","70","540","54","89"
"4","6.0","17.0","171.0","70","540","23","90"
"5","9.0","25.0","179.0","61","510","23","91"
"6","13.0","35.0","155.0","94","623","21","92"
"7","14.0","43.0","155.0","94","623","23","93"
"8","17.0","52.0","151.0","102","649","24","95"
"9","19.0","62.0","148.0","108","671","24","96"
"10","22.0","71.0","146.0","112","687","24","98"
"11","24.0","75.0","144.0","117","703","24","99"
"12","26.0","83.0","141.0","125","729","24","99"
"13","29.0","95.0","139.0","130","748","25","101"
"14","31.0","99.0","139.0","130","748","25","101"
"15","35.0","116.0","138.0","133","758","26","103"
"16","36.0","120.0","139.0","130","748","25","104"
"17","39.0","128.0","143.0","120","711","25","105"
"18","41.0","136.0","144.0","117","703","24","105"
"19","43.0","144.0","144.0","117","703","24","106"
"20","47.0","156.0","146.0","112","687","22","107"
"21","50.0","168.0","134.0","145","800","22","107"
"22","53.0","175.0","134.0","145","800","92","107"
"23","56.0","187.0","147.0","110","679","20","108"
"24","58.0","195.0","147.0","110","679","20","108"
"25","62.0","207.0","146.0","112","687","20","109"
"26","64.0","216.0","146.0","112","687","20","110"
"27","68.0","227.0","144.0","117","703","20","111"
"28","71.0","240.0","141.0","125","729","20","111"
"29","75.0","248.0","139.0","130","748","21","111"
"30","76.0","257.0","139.0","130","748","21","112"
"31","79.0","270.0","137.0","136","768","22","112"
"32","81.0","278.0","137.0","136","768","22","113"
"33","85.0","290.0","144.0","117","703","19","113"
"34","88.0","302.0","144.0","117","703","19","114"
"35","91.0","313.0","144.0","117","703","19","114"
"36","103.0","331.0","234.0","27","394","58","113"
"37","105.0","337.0","234.0","27","394","21","112"
"38","107.0","344.0","207.0","39","435","21","112"
"39","111.0","354.0","158.0","89","605","23","111"
"40","113.0","362.0","158.0","89","605","23","110"
"41","116.0","371.0","144.0","117","703","23","110"
"42","118.0","380.0","141.0","125","729","23","110"
"43","120.0","391.0","139.0","130","748","23","110"
"44","124.0","401.0","130.0","159","848","25","111"
"45","126.0","412.0","129.0","163","861","25","112"
"46","128.0","421.0","130.0","159","848","25","113"
"47","131.0","428.0","129.0","163","861","26","114"
"48","133.0","436.0","128.0","167","874","26","115"
"49","135.0","446.0","127.0","171","888","27","115"
"50","137.0","455.0","127.0","171","888","27","116"
"51","139.0","459.0","127.0","171","888","27","116"
"52","141.0","468.0","128.0","167","874","28","117"
"53","143.0","477.0","127.0","171","888","28","118"
"54","146.0","491.0","127.0","171","888","28","119"
"55","148.0","496.0","127.0","171","888","28","119"
"56","149.0","500.0","127.0","171","888","28","120"
"57","149.0","500.0","127.0","171","888","28","118"
"58","149.0","500.0","127.0","171","888","28","117"
"59","149.0","500.0","127.0","171","888","28","116"
"60","149.0","500.0","127.0","171","888","28","113"
"61","149.0","500.0","127.0","171","888","28","112"
"62","149.0","500.0","127.0","171","888","28","111"
"63","149.0","500.0","127.0","171","888","28","109"
"64","149.0","500.0","127.0","171","888","28","109"
"65","149.0","500.0","127.0","171","888","28","108"
"66","149.0","500.0","127.0","171","888","28","108"
"67","149.0","500.0","127.0","171","888","28","108"
"68","149.0","500.0","127.0","171","888","28","108"
"69","0.0","0.0","0.0","","","0","104"
"70","1.0","3.0","156.0","92","617","0","104"
"71","3.0","12.0","135.0","142","789","27","105"
"72","5.0","17.0","135.0","142","789","27","106"
